n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,5,0.9,18.32,50.11,0.9,0.92
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,4,0.83,9.46,7.75,0.57,0.63
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,6,0.94,16.98,63.58,0.92,0.94
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,6,1.13,30.15,35.52,0.92,0.93
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,9,0.83,17.51,16.73,0.62,0.55
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,11,0.84,29.85,65.22,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,7,0.9,23.15,65.25,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,4,0.83,9.46,28.92,0.85,0.84
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,9,0.79,16.1,37.06,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,6,0.9,17.0,65.75,0.92,0.94
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,7,1.05,33.2,33.37,0.82,0.83
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,4,0.77,8.52,7.48,0.55,0.55
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,11,1.05,44.21,105.54,0.7,0.75
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,10,0.94,24.34,97.81,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,9,1.13,38.49,103.03,0.6,0.53
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,10,0.84,27.84,60.54,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,SVM,4,0.84,13.62,15.58,0.57,0.57
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,GMM,10,0.84,27.77,8.47,0.88,0.9
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,7,0.79,12.98,3.42,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,11,0.79,19.29,43.53,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,11,0.94,26.23,45.31,0.68,0.73
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,6,0.84,18.24,40.85,0.88,0.88
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,8,0.9,21.25,45.26,0.52,0.44
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,7,0.83,14.27,42.69,0.92,0.93
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,8,0.83,15.75,48.78,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,5,0.84,15.76,35.95,0.85,0.84
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,5,1.13,27.72,84.04,0.9,0.9
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,11,0.83,20.87,18.35,0.62,0.61
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,8,1.13,35.6,45.92,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,9,1.05,38.43,134.4,0.88,0.89
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,9,0.79,16.1,4.08,0.88,0.89
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,5,0.83,11.1,33.49,0.95,0.96
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,4,0.79,8.53,3.37,0.7,0.73
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,4,0.9,14.71,18.71,0.8,0.83
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,12,0.83,22.31,6.7,0.95,0.95
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,7,0.9,18.87,44.07,0.52,0.45
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,11,0.84,29.84,65.4,1.0,1.0
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,6,1.05,30.09,95.21,0.92,0.94
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,VQ,5,0.77,9.92,23.87,0.85,0.85
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,SVM,11,0.84,29.85,20.32,0.65,0.64
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,4,1.04,25.14,93.72,0.62,0.64
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,6,0.83,12.62,15.46,0.52,0.49
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,9,1.04,38.74,101.48,0.57,0.5
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,SVM,12,0.84,32.67,21.17,0.6,0.51
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,11,0.9,33.05,37.95,0.68,0.7
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,10,0.77,17.91,3.79,0.98,0.98
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,5,0.83,11.1,15.37,0.5,0.43
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,6,1.13,30.15,98.79,0.95,0.96
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,12,0.9,35.25,15.71,0.92,0.94
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,12,0.79,21.21,4.36,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,5,0.9,18.33,32.7,0.42,0.41
